"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"arcticlogistics.no","arcticlogistics.no","http://arcticlogistics.no","","Universitetssenteret På Svalbard AS","","Yes","dotgov","No","No","No","","","","","","No"
"arcticsystem.no","arcticsystem.no","http://www.arcticsystem.no","","Norsk Polarinstitutt","","No","dotgov","No","No","No","","","","","","No"
"arealplan.no","arealplan.no","http://www.arealplan.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
"arenaclusters.no","arenaclusters.no","http://www.arenaclusters.no","","Innovasjon Norge","","No","dotgov","No","No","No","","","","","","No"
"arenanyomsorg.no","arenanyomsorg.no","http://www.arenanyomsorg.no","","Høgskolen I Gjøvik","","Yes","dotgov","No","No","No","No","Yes","No","No","No","No"
"argentum-fonds.no","argentum-fonds.no","http://argentum-fonds.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum-fondsinvesteringer.no","argentum-fondsinvesteringer.no","http://argentum-fondsinvesteringer.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum-funds.no","argentum-funds.no","http://argentum-funds.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum-management.no","argentum-management.no","http://argentum-management.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum-nordic.no","argentum-nordic.no","http://argentum-nordic.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum-pe.no","argentum-pe.no","http://argentum-pe.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum-privateequity.no","argentum-privateequity.no","http://argentum-privateequity.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentum.no","argentum.no","https://argentum.no","","Argentum Fondsinvesteringer AS","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"argentumassetmanagement.no","argentumassetmanagement.no","http://argentumassetmanagement.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumfonds.no","argentumfonds.no","http://argentumfonds.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumfondsinvesteringer.no","argentumfondsinvesteringer.no","http://argentumfondsinvesteringer.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumfunds.no","argentumfunds.no","http://argentumfunds.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumkapitalforvaltning.no","argentumkapitalforvaltning.no","http://argentumkapitalforvaltning.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumnordic.no","argentumnordic.no","http://argentumnordic.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumpe.no","argentumpe.no","http://argentumpe.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumprivateequity.no","argentumprivateequity.no","http://argentumprivateequity.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"argentumsecondary.no","argentumsecondary.no","http://argentumsecondary.no","","Argentum Fondsinvesteringer AS","","No","dotgov","No","No","No","","","","","","No"
"arkeologiskmuseum.no","arkeologiskmuseum.no","http://www.arkeologiskmuseum.no","","Universitetet I Stavanger","","Yes","dotgov","No","No","No","","","","","","No"
"arketyper.no","arketyper.no","http://arketyper.no","","Nasjonal Ikt Hf","","No","dotgov","No","No","No","","","","","","No"
"arkivmote.no","arkivmote.no","http://arkivmote.no","","Arkivverket","","No","dotgov","No","No","No","","","","","","No"
"arkivporten.no","arkivporten.no","http://arkivporten.no","","Arkivverket","","No","dotgov","No","No","No","","","","","","No"
"arkivverket.no","arkivverket.no","https://www.arkivverket.no","","Arkivverket","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"artistic-research.no","artistic-research.no","http://artistic-research.no","","Kunst- og Designhøgskolen I Bergen","","No","dotgov","No","No","No","","","","","","No"
"artisticresearch.no","artisticresearch.no","http://artisticresearch.no","","Kunst- og Designhøgskolen I Bergen","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"artsandhealth.no","artsandhealth.no","http://artsandhealth.no","","Høgskolen I Nord-Trøndelag","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"artsandhealthnorway.no","artsandhealthnorway.no","http://artsandhealthnorway.no","","Høgskolen I Nord-Trøndelag","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"artscouncilnorway.no","artscouncilnorway.no","http://artscouncilnorway.no","","Norsk Kulturråd","","Yes","dotgov","No","No","No","","","","","","No"
"artsdatabanken.no","artsdatabanken.no","https://artsdatabanken.no","","Norges Teknisk-Naturvitenskapelige Universitet Ntnu","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"artsobservasjoner.no","artsobservasjoner.no","http://artsobservasjoner.no","","Norges Teknisk-Naturvitenskapelige Universitet Ntnu","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"arveavgift.no","arveavgift.no","http://arveavgift.no","","Skatteetaten","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"asd.dep.no","asd.dep.no","http://asd.dep.no","","","","Yes","dotgov","No","No","No","","","","","","No"
"ask-loftet.no","ask-loftet.no","http://ask-loftet.no","","Statped","","No","dotgov","No","No","No","","","","","","No"
"askbasen.no","askbasen.no","http://www.askbasen.no","","Høgskulen I Sogn og Fjordane","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"askstudy.no","askstudy.no","http://askstudy.no","","Høgskulen I Sogn og Fjordane","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"atil.no","atil.no","http://atil.no","","Arbeidstilsynet","","No","dotgov","No","No","No","","","","","","No"
"atomberedskap.no","atomberedskap.no","https://www.atomberedskap.no","","Statens Strålevern","","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"atomhandlingsplanen.no","atomhandlingsplanen.no","http://www.atomhandlingsplanen.no","","Statens Strålevern","","No","dotgov","No","No","No","","","","","","No"
"attache.no","attache.no","http://attache.no","","Forsvarsdepartementet","","No","dotgov","No","No","No","","","","","","No"
"aus.no","aus.no","http://www.aus.no","","Oslo Universitetssykehus Hf","","Yes","dotgov","No","No","No","","","","","","No"
"autonomus.no","autonomus.no","http://autonomus.no","","Høgskolen I Buskerud og Vestfold","","No","dotgov","No","No","No","","","","","","No"
"autopass.no","autopass.no","http://www.autopass.no","","Statens Vegvesen","","No","dotgov","No","No","No","","","","","","No"
"avalanche-norway.no","avalanche-norway.no","http://avalanche-norway.no","","Norges Vassdrags- og Energidirektorat (Nve)","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"avfallsdeklarering.no","avfallsdeklarering.no","https://www.avfallsdeklarering.no","","Miljødirektoratet","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"avhengighetsbehandling.no","avhengighetsbehandling.no","https://avhengighetsbehandling.no","","Sørlandet Sykehus Hf","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"awaywithwords.no","awaywithwords.no","http://awaywithwords.no","","Sørlandet Sykehus Hf","","No","dotgov","No","No","No","","","","","","No"
"baerum-sykehus.no","baerum-sykehus.no","http://baerum-sykehus.no","","Vestre Viken Hf","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"baerumsykehus.no","baerumsykehus.no","http://baerumsykehus.no","","Vestre Viken Hf","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"balansekunstprosjektet.no","balansekunstprosjektet.no","http://balansekunstprosjektet.no","","Rikskonsertene","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"balanselaboratoriet.no","balanselaboratoriet.no","http://www.balanselaboratoriet.no","","Helse Bergen Hf","","No","dotgov","No","No","No","","","","","","No"
"balletthogskolen.no","balletthogskolen.no","http://balletthogskolen.no","","Kunsthøgskolen I Oslo","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"bamsehuset.no","bamsehuset.no","http://bamsehuset.no","","Registerenheten I Brønnøysund","","No","dotgov","No","No","No","","","","","","No"
"baneenergi.no","baneenergi.no","http://baneenergi.no","","Jernbaneverket","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"banenorge.no","banenorge.no","http://banenorge.no","","Jernbaneverket","","No","dotgov","No","No","No","","","","","","No"
