"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"fredheimskole.no","fredheimskole.no","http://fredheimskole.no","","Gjøvik Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"fredrikstad.kommune.no","fredrikstad.kommune.no","https://www.fredrikstad.kommune.no","","","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"fredrikstad2017.no","fredrikstad2017.no","http://fredrikstad2017.no","","Fredrikstad Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"fredrikstad450.no","fredrikstad450.no","http://fredrikstad450.no","","Fredrikstad Kommune","Østfold","Yes","dotgov","No","No","No","","","","","","No"
"fredrikstadbyjubileum.no","fredrikstadbyjubileum.no","http://fredrikstadbyjubileum.no","","Fredrikstad Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"fredrikstadfestning.no","fredrikstadfestning.no","http://fredrikstadfestning.no","","Forsvarsbygg","","Yes","dotgov","No","No","No","","","","","","No"
"fredrikstadvalget.no","fredrikstadvalget.no","http://fredrikstadvalget.no","","Fredrikstad Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"fredrikstenmusikkfestuke.no","fredrikstenmusikkfestuke.no","http://www.fredrikstenmusikkfestuke.no","","Østfold Fylkeskommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"fredriksvernverft.no","fredriksvernverft.no","http://fredriksvernverft.no","","Forsvarsbygg","","Yes","dotgov","No","No","No","","","","","","No"
"fredskorpset.no","fredskorpset.no","https://www.fredskorpset.no","","Fredskorpset","","No","dotgov","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"freiskole.no","freiskole.no","http://freiskole.no","","Kristiansund Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"freiungdomsskole.no","freiungdomsskole.no","http://freiungdomsskole.no","","Kristiansund Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"frekit.no","frekit.no","http://frekit.no","","Fredrikstad Kommune","Østfold","No","dotgov","No","No","No","","","","","","No"
"frekvensportalen.no","frekvensportalen.no","http://frekvensportalen.no","","Nasjonal Kommunikasjonsmyndighet","","Yes","dotgov","No","No","No","","","","","","No"
"fremmedspraksenteret.no","fremmedspraksenteret.no","https://fremmedspraksenteret.no","","Høgskolen I Østfold","","No","dotgov","No","Yes","No","No","Yes","Yes","No","No","No"
"fremragende-forskning.no","fremragende-forskning.no","https://fremragende-forskning.no","","Norges Forskningsråd","","Yes","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frenakultur.no","frenakultur.no","http://frenakultur.no","","Fræna Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"frenalegekontor.no","frenalegekontor.no","http://frenalegekontor.no","","Fræna Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"freskus.no","freskus.no","http://freskus.no","","Ringebu Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"fribystavanger.no","fribystavanger.no","http://fribystavanger.no","","Sølvberget Kf","Rogaland","No","dotgov","No","No","No","","","","","","No"
